LEMMA|POS,LEMMA,POS,FREQUENCY,INFLECTIONS
block|n,block,n,263,"block, blocks"
herself|fw,herself,fw,263,herself
murder|n,murder,n,263,"murder, murders"
speed|n,speed,n,263,"speed, speeds"
Jesus|u,Jesus,u,262,Jesus
mix|v,mix,v,262,"mix, mixes, mixing, mixed, mixt"
track|n,track,n,262,"track, tracks"
opportunity|n,opportunity,n,261,"opportunity, opportunities"
society|n,society,n,261,"society, societies"
whoo-hoo|u,whoo-hoo,u,261,whoo-hoo
upon|fw,upon,fw,260,upon
difficult|j,difficult,j,259,difficult
killer|n,killer,n,259,"killer, killers"
lip|n,lip,n,259,"lip, lips"
market|n,market,n,259,"market, markets"
goodness|n,goodness,n,258,goodness
pillow|n,pillow,n,258,"pillow, pillows"
tie|v,tie,v,258,"tie, ties, tying, tied"
arrive|v,arrive,v,257,"arrive, arrives, arriving, arrived"
mountain|n,mountain,n,257,"mountain, mountains"
slip|v,slip,v,257,"slip, slips, slipping, slipped"
belt|n,belt,n,256,"belt, belts"
museum|n,museum,n,256,"museum, museums, musea"
oil|n,oil,n,256,"oil, oils"
press|v,press,v,256,"press, presses, pressing, pressed"
respect|n,respect,n,256,"respect, respects"
airplane|n,airplane,n,255,"airplane, airplanes"
airport|n,airport,n,254,"airport, airports"
honestly|r,honestly,r,254,honestly
contest|n,contest,n,253,"contest, contests"
fabulous|j,fabulous,j,253,fabulous
spell|v,spell,v,253,"spell, spells, spelling, spelled, spelt"
whoever|fw,whoever,fw,253,"whoever, whomever"
bell|n,bell,n,252,"bell, bells"
friendship|n,friendship,n,252,"friendship, friendships"
national|j,national,j,252,national
alien|n,alien,n,251,"alien, aliens"
dream|v,dream,v,251,"dream, dreams, dreaming, dreamed, dreamt"
fool|n,fool,n,251,"fool, fools"
past|fw,past,fw,251,past
bless|v,bless,v,250,"bless, blesses, blessing, blessed, blest"
cartoon|n,cartoon,n,250,"cartoon, cartoons"
near|fw,near,fw,250,near
swim|v,swim,v,250,"swim, swims, swimming, swam, swum"
burger|n,burger,n,249,"burger, burgers"
fruit|n,fruit,n,249,"fruit, fruits"
roof|n,roof,n,249,"roof, roofs"
theory|n,theory,n,249,"theory, theories"
according|fw,according,fw,248,according
guilty|j,guilty,j,248,"guilty, guiltier, guiltiest"
potato|n,potato,n,248,"potato, potatoes"
dish|n,dish,n,247,"dish, dishes"
sound|n,sound,n,247,"sound, sounds"
uncomfortable|j,uncomfortable,j,247,uncomfortable
wrap|v,wrap,v,247,"wrap, wraps, wrapping, wrapped, wrapt"
cheap|j,cheap,j,246,"cheap, cheaper, cheapest"
employee|n,employee,n,246,"employee, employe, employees, employes"
interview|n,interview,n,246,"interview, interviews"
perform|v,perform,v,245,"perform, performs, performing, performed"
spring|n,spring,n,245,"spring, springs"
text|v,text,v,245,"text, texts, texting, texted"
tour|n,tour,n,245,"tour, tours"
treat|n,treat,n,245,"treat, treats"
awkward|j,awkward,j,244,"awkward, awkwarder, awkwardest"
expensive|j,expensive,j,244,expensive
unfortunately|r,unfortunately,r,244,unfortunately
purse|n,purse,n,243,"purse, purses"
charge|v,charge,v,242,"charge, charges, charging, charged"
ha-ha|u,ha-ha,u,242,ha-ha
divorce|n,divorce,n,241,"divorce, divorces"
ring|v,ring,v,241,"ring, rings, ringing, rang, rung"
bra|n,bra,n,240,"bra, bras"
brown|j,brown,j,240,"brown, browner, brownest"
duck|n,duck,n,240,"duck, ducks"
English|K,English,K,240,English
celebrity|n,celebrity,n,239,"celebrity, celebrities"
double|j,double,j,239,double
period|n,period,n,239,"period, periods"
rent|v,rent,v,239,"rent, rents, renting, rented"
today|n,today,n,239,today
barely|r,barely,r,238,barely
bye-bye|u,bye-bye,u,238,bye-bye
chip|n,chip,n,238,"chip, chips"
ignore|v,ignore,v,238,"ignore, ignores, ignoring, ignored"
language|n,language,n,238,"language, languages"
laundry|n,laundry,n,238,"laundry, laundries"
social|j,social,j,238,social
dress|n,dress,n,238,"dress, dresses"
soft|j,soft,j,238,"soft, softer, softest"
apology|n,apology,n,237,"apology, apologies"
concert|n,concert,n,237,"concert, concerts"
disappoint|v,disappoint,v,237,"disappoint, disappoints, disappointing, disappointed"
knife|n,knife,n,237,"knife, knives"
hilarious|j,hilarious,j,236,hilarious
judge|v,judge,v,236,"judge, judges, judging, judged"
blanket|n,blanket,n,235,"blanket, blankets"
comic|j,comic,j,235,comic
leader|n,leader,n,235,"leader, leaders"
local|j,local,j,235,local
neighborhood|n,neighborhood,n,235,"neighborhood, neighborhoods"
trap|v,trap,v,235,"trap, traps, trapping, trapped"
West|n,West,n,235,"West, west"
bury|v,bury,v,234,"bury, buries, burying, buried"
whore|n,whore,n,234,"whore, whores"
cross|v,cross,v,233,"cross, crosses, crossing, crossed"
sheet|n,sheet,n,233,"sheet, sheets"
suffer|v,suffer,v,233,"suffer, suffers, suffering, suffered"
tax|n,tax,n,233,"tax, taxes"
bath|n,bath,n,232,"bath, baths"
receive|v,receive,v,232,"receive, receives, receiving, received"
sometime|r,sometime,r,232,sometime
split|v,split,v,232,"split, splits, splitting"
soda|n,soda,n,231,"soda, sodas"
talent|n,talent,n,231,"talent, talents"
account|n,account,n,230,"account, accounts"
convince|v,convince,v,230,"convince, convinces, convincing, convinced"
dessert|n,dessert,n,230,"dessert, desserts"
purpose|n,purpose,n,230,"purpose, purposes"
report|v,report,v,230,"report, reports, reporting, reported"
weak|j,weak,j,230,"weak, weaker, weakest"
cheer|v,cheer,v,229,"cheer, cheers, cheering, cheered"
move|n,move,n,229,"move, moves"
support|v,support,v,229,"support, supports, supporting, supported"
research|n,research,n,228,"research, researches"
tongue|n,tongue,n,228,"tongue, tongues"
Valentine|K,Valentine,K,228,"Valentine, valentine, valentines"
pill|n,pill,n,227,"pill, pills"
snake|n,snake,n,227,"snake, snakes"
battle|n,battle,n,226,"battle, battles"
license|n,license,n,226,"license, licenses"
nut|n,nut,n,226,"nut, nuts"
health|n,health,n,225,health
natural|j,natural,j,225,natural
gorgeous|j,gorgeous,j,223,gorgeous
steak|n,steak,n,223,"steak, steaks"
vagina|n,vagina,n,223,"vagina, vaginas, vaginae"
audience|n,audience,n,222,"audience, audiences"
knee|n,knee,n,222,"knee, knees"
term|n,term,n,222,"term, terms"
dance|n,dance,n,221,"dance, dances"
score|n,score,n,221,"score, scores"
sue|v,sue,v,221,"sue, sues, suing, sued"
whether|fw,whether,fw,221,whether
artist|n,artist,n,220,"artist, artists"
attack|v,attack,v,220,"attack, attacks, attacking, attacked"
bang|v,bang,v,220,"bang, bangs, banging, banged"
bean|n,bean,n,220,"bean, beans"
onto|fw,onto,fw,220,onto
attractive|j,attractive,j,219,attractive
breath|n,breath,n,219,"breath, breaths"
cover|n,cover,n,219,"cover, covers"
empty|j,empty,j,219,"empty, emptier, emptiest"
lonely|j,lonely,j,219,"lonely, lonelier, loneliest"
painting|n,painting,n,219,"painting, paintings"
truly|r,truly,r,219,truly
army|n,army,n,218,"army, armies"
avoid|v,avoid,v,218,"avoid, avoids, avoiding, avoided"
gang|n,gang,n,218,"gang, gangs"
land|v,land,v,218,"land, lands, landing, landed"
nerd|n,nerd,n,218,"nerd, nerds"
others|fw,others,fw,218,others
slap|v,slap,v,218,"slap, slaps, slapping, slapped"
when|fw,when,fw,218,when
appointment|n,appointment,n,217,"appointment, appointments"
dick|n,dick,n,217,"dick, dicks"
lesbian|n,lesbian,n,217,"lesbian, lesbians"
outfit|n,outfit,n,217,"outfit, outfits"
adventure|n,adventure,n,216,"adventure, adventures"
devil|n,devil,n,216,"devil, devils"
liar|n,liar,n,216,"liar, liars"
nurse|n,nurse,n,216,"nurse, nurses"
pot|n,pot,n,216,"pot, pots"
responsible|j,responsible,j,216,responsible
salesman|n,salesman,n,216,"salesman, salesmen"
slow|j,slow,j,216,"slow, slower, slowest"
smile|n,smile,n,216,"smile, smiles"
wallet|n,wallet,n,216,"wallet, wallets"
commit|v,commit,v,215,"commit, commits, committing, committed"
example|n,example,n,215,"example, examples"
fake|v,fake,v,215,"fake, fakes, faking, faked"
obvious|j,obvious,j,215,obvious
pirate|n,pirate,n,215,"pirate, pirates"
radio|n,radio,n,215,"radio, radios"
chase|v,chase,v,214,"chase, chases, chasing, chased"
due|j,due,j,214,due
familiar|j,familiar,j,214,familiar
homework|n,homework,n,214,homework
birth|n,birth,n,213,"birth, births"
Canadian|K,Canadian,K,213,Canadian
favorite|n,favorite,n,213,"favorite, favorites"
prefer|v,prefer,v,213,"prefer, prefers, preferring, preferred"
rub|v,rub,v,213,"rub, rubs, rubbing, rubbed"
sky|n,sky,n,213,"sky, skies"
basically|r,basically,r,212,basically
coach|n,coach,n,212,"coach, coaches"
deliver|v,deliver,v,212,"deliver, delivers, delivering, delivered"
laboratory|n,laboratory,n,212,"lab, labs, laboratory, laboratories"
address|n,address,n,211,"address, addresses"
lift|v,lift,v,211,"lift, lifts, lifting, lifted"
concern|v,concern,v,210,"concern, concerns, concerning, concerned"
eleven|m,eleven,m,210,"eleven, elevens"
round|n,round,n,210,"round, rounds"
wish|n,wish,n,210,"wish, wishes"
guard|n,guard,n,209,"guard, guards"
contact|n,contact,n,208,"contact, contacts"
over|j,over,j,208,over
package|n,package,n,208,"package, packages"
travel|v,travel,v,208,"travel, travels, traveling, traveled"
sixty|m,sixty,m,208,"sixty, sixties"
anniversary|n,anniversary,n,207,"anniversary, anniversaries"
cent|n,cent,n,207,"cent, cents"
force|v,force,v,207,"force, forces, forcing, forced"
rest|v,rest,v,207,"rest, rests, resting, rested"
spread|v,spread,v,207,"spread, spreads, spreading"
adorable|j,adorable,j,206,adorable
ocean|n,ocean,n,206,"ocean, oceans"
percent|n,percent,n,206,"percent, percents"
shit|u,shit,u,206,shit
wing|n,wing,n,206,"wing, wings"
above|fw,above,fw,205,above
alcohol|n,alcohol,n,205,"alcohol, alcohols"
crash|v,crash,v,205,"crash, crashes, crashing, crashed"
insurance|n,insurance,n,205,"insurance, insurances"
nuclear|j,nuclear,j,205,nuclear
pathetic|j,pathetic,j,205,pathetic
row|n,row,n,205,"row, rows"
sight|n,sight,n,205,"sight, sights"
trash|n,trash,n,205,"trash, trashes"
available|j,available,j,204,available
brave|j,brave,j,204,"brave, braver, bravest"
climb|v,climb,v,204,"climb, climbs, climbing, climbed"
earn|v,earn,v,204,"earn, earns, earning, earned"
East|n,East,n,204,"East, east"
impress|v,impress,v,204,"impress, impresses, impressing, impressed"
league|n,league,n,204,"league, leagues"
online|j,online,j,204,online
waste|n,waste,n,204,"waste, wastes"
within|fw,within,fw,204,within
writer|n,writer,n,204,"writer, writers"
crowd|n,crowd,n,203,"crowd, crowds"
flip|v,flip,v,203,"flip, flips, flipping, flipped"
hug|n,hug,n,203,"hug, hugs"
drag|v,drag,v,202,"drag, drags, dragging, dragged"
funeral|n,funeral,n,202,"funeral, funerals"
literally|r,literally,r,202,literally
lousy|j,lousy,j,202,"lousy, lousier, lousiest"
opinion|n,opinion,n,202,"opinion, opinions"
pack|n,pack,n,202,"pack, packs"
spit|v,spit,v,202,"spit, spits, spitting, spat"
van|n,van,n,202,"van, vans"
behavior|n,behavior,n,201,"behavior, behaviors"
complain|v,complain,v,201,"complain, complains, complaining, complained"
future|j,future,j,201,"future, futures"
interest|n,interest,n,201,"interest, interests"
itself|fw,itself,fw,201,itself
mirror|n,mirror,n,201,"mirror, mirrors"
recently|r,recently,r,201,recently
stripper|n,stripper,n,201,"stripper, strippers"
subject|n,subject,n,201,"subject, subjects"
bright|j,bright,j,200,"bright, brighter, brightest"
design|v,design,v,200,"design, designed, designing, designs"
general|j,general,j,200,general
kidney|n,kidney,n,200,"kidney, kidneys"
result|n,result,n,200,"result, results"
strike|n,strike,n,200,"strike, strikes"
corn|n,corn,n,199,"corn, corns"
correct|j,correct,j,199,correct
grandmother|n,grandmother,n,199,"grandmother, grandmothers"
hug|v,hug,v,199,"hug, hugged, hugging, hugs"
nightmare|n,nightmare,n,199,"nightmare, nightmares"
ours|fw,ours,fw,199,ours
yellow|j,yellow,j,199,"yellow, yellower, yellowest"
rise|v,rise,v,199,"rise, risen, rises, rising, rose"
Christian|K,Christian,K,199,"Christian, Christians"
doughnut|n,doughnut,n,199,"doughnut, doughnuts, donut, donuts"
original|j,original,j,199,original
position|n,position,n,199,"position, positions"
quarter|m,quarter,m,199,"quarter, quarters"
fool|v,fool,v,198,"fool, fooled, fooling, fools"
annoy|v,annoy,v,197,"annoy, annoyed, annoying, annoys"
can|n,can,n,197,"can, cans"
match|n,match,n,197,"match, matches"
play|n,play,n,197,"play, plays"
traffic|n,traffic,n,197,traffic
actual|j,actual,j,196,actual
banana|n,banana,n,196,"banana, bananas"
conference|n,conference,n,196,"conference, conferences"
lake|n,lake,n,196,"lake, lakes"
medical|j,medical,j,196,medical
medicine|n,medicine,n,196,"medicine, medicines"
pray|v,pray,v,196,"pray, prayed, praying, prays"
shave|v,shave,v,196,"shave, shaved, shaven, shaves, shaving"
tub|n,tub,n,196,"tub, tubs"
bake|v,bake,v,195,"bake, baked, bakes, baking"
option|n,option,n,195,"option, options"
South|n,South,n,195,South
creepy|j,creepy,j,194,"creepy, creepier, creepiest"
douchebag|n,douchebag,n,194,"douchebag, douchebags"
eventually|r,eventually,r,194,eventually
interrupt|v,interrupt,v,194,"interrupt, interrupted, interrupting, interrupts"
library|n,library,n,194,"library, libraries"
rude|j,rude,j,194,"rude, ruder, rudest"
advertisement|n,advertisement,n,193,"ad, ads, advertisement, advertisements, advertizement, advertizements"
danger|n,danger,n,193,"danger, dangers"
fourteen|m,fourteen,m,193,"fourteen, fourteens"
master|n,master,n,193,"master, masters"
math|n,math,n,193,"math, maths"
propose|v,propose,v,193,"propose, proposed, proposes, proposing"
Thursday|K,Thursday,K,193,"Thursday, Thursdays"
apart|r,apart,r,192,apart
darling|n,darling,n,192,"darling, darlings"
gather|v,gather,v,192,"gather, gathered, gathering, gathers"
mostly|r,mostly,r,192,mostly
support|n,support,n,192,"support, supports"
bubble|n,bubble,n,191,"bubble, bubbles"
energy|n,energy,n,191,"energy, energies"
heavy|j,heavy,j,191,"heavy, heavier, heaviest"
laser|n,laser,n,191,"laser, lasers"
manage|v,manage,v,191,"manage, managed, manages, managing"
meanwhile|r,meanwhile,r,191,meanwhile
network|n,network,n,191,"network, networks"
weapon|n,weapon,n,191,"weapon, weapons"
condition|n,condition,n,190,"condition, conditions"
copy|n,copy,n,190,"copy, copies"
female|j,female,j,190,female
park|v,park,v,190,"park, parked, parking, parks"
quickly|r,quickly,r,190,quickly
religion|n,religion,n,190,"religion, religions"
snow|n,snow,n,190,"snow, snows"
Tuesday|K,Tuesday,K,190,"Tuesday, Tuesdays"
version|n,version,n,190,"version, versions"
bomb|n,bomb,n,190,"bomb, bombs"
clear|v,clear,v,189,"clear, cleared, clearing, clears"
faith|n,faith,n,189,"faith, faiths"
innocent|j,innocent,j,189,innocent
remove|v,remove,v,189,"remove, removed, removes, removing"
survive|v,survive,v,189,"survive, survived, survives, surviving"
bee|n,bee,n,188,"bee, bees"
bride|n,bride,n,188,"bride, brides"
cause|n,cause,n,188,"cause, causes"
fifth|m,fifth,m,188,"fifth, fifths"
several|fw,several,fw,188,several
basketball|n,basketball,n,187,"basketball, basketballs"
downtown|n,downtown,n,187,downtown
elephant|n,elephant,n,187,"elephant, elephants"
freak|n,freak,n,187,"freak, freaks"
wipe|v,wipe,v,187,"wipe, wiped, wipes, wiping"
arrest|v,arrest,v,186,"arrest, arrested, arresting, arrests"
bored|j,bored,j,186,bored
bully|n,bully,n,186,"bully, bullies"
clock|n,clock,n,186,"clock, clocks"
indeed|r,indeed,r,186,indeed
massage|n,massage,n,186,"massage, massages"
shape|n,shape,n,186,"shape, shapes"
skip|v,skip,v,186,"skip, skipped, skipping, skips"
strike|v,strike,v,186,"strike, stricken, strikes, striking, struck"
dry|j,dry,j,185,"dry, drier, dryer, driest, dryest"
remain|v,remain,v,185,"remain, remained, remaining, remains"
style|n,style,n,185,"style, styles"
surgery|n,surgery,n,185,"surgery, surgeries"
toe|n,toe,n,185,"toe, toes"
yard|n,yard,n,185,"yard, yards"
brilliant|j,brilliant,j,184,brilliant
circle|n,circle,n,184,"circle, circles"
duty|n,duty,n,184,"duty, duties"
enemy|n,enemy,n,184,"enemy, enemies"
focus|n,focus,n,184,"focus, foci, focuses"
lover|n,lover,n,184,"lover, lovers"
midnight|n,midnight,n,184,midnight
simply|r,simply,r,184,simply
Spanish|K,Spanish,K,184,Spanish
boom|u,boom,u,183,boom
describe|v,describe,v,183,"describe, described, describes, describing"
legal|j,legal,j,183,legal
Mexican|K,Mexican,K,183,"Mexican, Mexicans"
powerful|j,powerful,j,183,"powerful, powerfull, powerfuller, powerfuler, powerfullest, powerfulest"
series|n,series,n,183,series
wire|n,wire,n,183,"wire, wires"
candle|n,candle,n,182,"candle, candles"
diaper|n,diaper,n,182,"diaper, diapers"
direction|n,direction,n,182,"direction, directions"
divorce|v,divorce,v,182,"divorce, divorces, divorced, divorcing"
eighteen|m,eighteen,m,182,"eighteen, eighteens"
express|v,express,v,182,"express, expressed, expresses, expressing"
plastic|n,plastic,n,182,"plastic, plastics"
responsibility|n,responsibility,n,182,"responsibility, responsibilities"
starve|v,starve,v,182,"starve, starved, starves, starving"
united|j,united,j,182,united
worker|n,worker,n,182,"worker, workers"
AIDS|abbr,AIDS,abbr,181,AIDS
hope|n,hope,n,181,"hope, hopes"
immediately|r,immediately,r,181,immediately
nowhere|r,nowhere,r,181,nowhere
separate|v,separate,v,181,"separate, separated, separates, separating"
watch|n,watch,n,181,"watch, watches"
emotional|j,emotional,j,180,emotional
hardly|r,hardly,r,180,hardly
pilot|n,pilot,n,180,"pilot, pilots"
vampire|n,vampire,n,180,"vampire, vampires"
attitude|n,attitude,n,179,"attitude, attitudes"
balloon|n,balloon,n,179,"balloon, balloons"
exact|j,exact,j,179,exact
frankly|r,frankly,r,179,frankly
hip|n,hip,n,179,"hip, hips"
pet|n,pet,n,179,"pet, pets"
prank|n,prank,n,179,"prank, pranks"
announcement|n,announcement,n,178,"announcement, announcements"
effect|n,effect,n,178,"effect, effects"
escape|v,escape,v,178,"escape, escaped, escapes, escaping"
golden|j,golden,j,178,golden
nipple|n,nipple,n,178,"nipple, nipples"
rough|j,rough,j,178,"rough, rougher, roughest"
stick|n,stick,n,178,"stick, sticks"
trade|v,trade,v,178,"trade, traded, trades, trading"
twin|n,twin,n,178,"twin, twins"
waiter|n,waiter,n,178,"waiter, waiters"
architect|n,architect,n,177,"architect, architects"
beauty|n,beauty,n,177,"beauty, beauties"
mate|n,mate,n,177,"mate, mates"
official|j,official,j,177,official
practice|v,practice,v,177,"practice, practiced, practices, practicing"
t-shirt|n,t-shirt,n,177,"t-shirt, t-shirts"
bug|n,bug,n,176,"bug, bugs"
crack|v,crack,v,176,"crack, cracked, cracking, cracks"
four hundred|m,four hundred,m,176,four hundred
half|n,half,n,176,"half, halves"
smoke|n,smoke,n,176,"smoke, smokes"
contract|n,contract,n,175,"contract, contracts"
nail|n,nail,n,175,"nail, nails"
recognize|v,recognize,v,175,"recognize, recognized, recognizes, recognizing"
scientist|n,scientist,n,175,"scientist, scientists"
set|n,set,n,175,"set, sets"
shoulder|n,shoulder,n,175,"shoulder, shoulders"
successful|j,successful,j,175,successful
turd|n,turd,n,175,"turd, turds"
view|n,view,n,175,"view, views"
basement|n,basement,n,174,"basement, basements"
degree|n,degree,n,174,"degree, degrees"
fortune|n,fortune,n,174,"fortune, fortunes"
hit|n,hit,n,174,"hit, hits"
invitation|n,invitation,n,174,"invitation, invitations"
nail|v,nail,v,174,"nail, nailed, nailing, nails"
oops|u,oops,u,174,oops
professional|j,professional,j,174,professional
search|n,search,n,174,"search, searches"
swing|v,swing,v,174,"swing, swinging, swings, swung"
train|v,train,v,174,"train, trained, training, trains"
weather|n,weather,n,174,"weather, weathers"
alarm|n,alarm,n,173,"alarm, alarms"
fun|j,fun,j,173,"fun, funner, funnest"
kitty|n,kitty,n,173,"kitty, kitties"
nap|n,nap,n,173,"nap, naps"
practice|n,practice,n,173,"practice, practices"
precious|j,precious,j,173,precious
product|n,product,n,173,"product, products"
rabbit|n,rabbit,n,173,"rabbit, rabbits"
role|n,role,n,173,"role, roles"
snack|n,snack,n,173,"snack, snacks"
sucker|n,sucker,n,173,"sucker, suckers"
tag|n,tag,n,173,"tag, tags"
chef|n,chef,n,172,"chef, chefs"
chew|v,chew,v,172,"chew, chewed, chewing, chews"
evidence|n,evidence,n,172,evidence
fantasy|n,fantasy,n,172,"fantasy, fantasies"
operation|n,operation,n,172,"operation, operations"
puppy|n,puppy,n,172,"puppy, puppies"
rain|n,rain,n,172,"rain, rains"
spin|v,spin,v,172,"spin, spinning, spins, spun"
throat|n,throat,n,172,"throat, throats"
e-mail|v,e-mail,v,171,"e-mail, e-mails, e-mailing, e-mailed, email, emails, emailing, emailed"
present|v,present,v,171,"present, presented, presenting, presents"
reality|n,reality,n,171,"reality, realities"
saint|n,saint,n,171,"saint, saints"
top|j,top,j,171,top
victim|n,victim,n,171,"victim, victims"
waitress|n,waitress,n,171,"waitress, waitresses"
booze|n,booze,n,170,"booze, boozes"
condom|n,condom,n,170,"condom, condoms"
director|n,director,n,170,"director, directors"
hunt|v,hunt,v,170,"hunt, hunted, hunting, hunts"
menu|n,menu,n,170,"menu, menus"
mystery|n,mystery,n,170,"mystery, mysteries"
quiet|u,quiet,u,170,quiet
regret|v,regret,v,170,"regret, regrets, regretted, regretting"
technically|r,technically,r,170,technically
ton|n,ton,n,170,"ton, tons"
attract|v,attract,v,169,"attract, attracted, attracting, attracts"
aware|j,aware,j,169,"aware, awarer, awarest"
chest|n,chest,n,169,"chest, chests"
dentist|n,dentist,n,169,"dentist, dentists"
far|j,far,j,169,"far, farther, further, farthest, furthest"
focus|v,focus,v,169,"focus, focused, focuses, focusing, focussed, focusses, focussing"
illegal|j,illegal,j,169,illegal
junior|j,junior,j,169,junior
mouse|n,mouse,n,169,"mouse, mice, mouses"
pencil|n,pencil,n,169,"pencil, pencils"
sentence|n,sentence,n,169,"sentence, sentences"
sixteen|m,sixteen,m,169,"sixteen, sixteens"
squeeze|v,squeeze,v,169,"squeeze, squeezed, squeezes, squeezing"
audition|n,audition,n,168,"audition, auditions"
lobster|n,lobster,n,168,"lobster, lobsters"
success|n,success,n,168,"success, successes"
terrorist|n,terrorist,n,168,"terrorist, terrorists"
asleep|r,asleep,r,167,asleep
fashion|n,fashion,n,167,"fashion, fashions"
glove|n,glove,n,167,"glove, gloves"
item|n,item,n,167,"item, items"
recommend|v,recommend,v,167,"recommend, recommended, recommending, recommends"
tuna|n,tuna,n,167,"tuna, tunas"
warehouse|n,warehouse,n,167,"warehouse, warehouses"
Italian|K,Italian,K,166,"Italian, Italians"
lazy|j,lazy,j,166,"lazy, lazier, laziest"
tank|n,tank,n,166,"tank, tanks"
whale|n,whale,n,166,"whale, whales"
zone|n,zone,n,166,"zone, zones"
honor|v,honor,v,166,"honor, honored, honoring, honors"
panic|v,panic,v,166,"panic, panicked, panicking, panics"
bachelor|n,bachelor,n,165,"bachelor, bachelors"
chain|n,chain,n,165,"chain, chains"
creature|n,creature,n,165,"creature, creatures"
diamond|n,diamond,n,165,"diamond, diamonds"
however|fw,however,fw,165,however
image|n,image,n,165,"image, images"
parade|n,parade,n,165,"parade, parades"
rocket|n,rocket,n,165,"rocket, rockets"
solution|n,solution,n,165,"solution, solutions"
cable|n,cable,n,164,"cable, cables"
culture|n,culture,n,164,"culture, cultures"
forty-five|m,forty-five,m,164,forty-five
garage|n,garage,n,164,"garage, garages"
male|j,male,j,164,male
revenge|n,revenge,n,164,"revenge, revenges"
shrimp|n,shrimp,n,164,"shrimp, shrimps"
taco|n,taco,n,164,"taco, tacos"
thin|j,thin,j,164,"thin, thinner, thinnest"
vote|n,vote,n,164,"vote, votes"
aside|r,aside,r,163,aside
bum|n,bum,n,163,"bum, bums"
distract|v,distract,v,163,"distract, distracted, distracting, distracts"
DVD|abbr,DVD,abbr,163,"DVD, DVDs"
hehe|u,hehe,u,163,hehe
humiliate|v,humiliate,v,163,"humiliate, humiliated, humiliates, humiliating"
locker|n,locker,n,163,"locker, lockers"
native|j,native,j,163,native
performance|n,performance,n,163,"performance, performances"
policy|n,policy,n,163,"policy, policies"
pony|n,pony,n,163,"pony, ponies"
release|v,release,v,163,"release, released, releases, releasing"
stone|n,stone,n,163,"stone, stones"
woohoo|u,woohoo,u,163,woohoo
advantage|n,advantage,n,162,"advantage, advantages"
basket|n,basket,n,162,"basket, baskets"
breakup|n,breakup,n,162,"breakup, breakups"
device|n,device,n,162,"device, devices"
garden|n,garden,n,162,"garden, gardens"
patient|n,patient,n,162,"patient, patients"
pink|j,pink,j,162,"pink, pinker, pinkest"
represent|v,represent,v,162,"represent, represented, representing, represents"
thirteen|m,thirteen,m,162,"thirteen, thirteens"
treasure|n,treasure,n,162,"treasure, treasures"
amount|n,amount,n,161,"amount, amounts"
fart|n,fart,n,161,"fart, farts"
newspaper|n,newspaper,n,161,"newspaper, newspapers"
wind|n,wind,n,161,"wind, winds"
act|n,act,n,160,"act, acts"
ashamed|j,ashamed,j,160,ashamed
champion|n,champion,n,160,"champion, champions"
light|v,light,v,160,"light, lighted, lighting, lights, lit"
per|fw,per,fw,160,per
scout|n,scout,n,160,"scout, scouts"
guitar|n,guitar,n,159,"guitar, guitars"
mental|j,mental,j,159,mental
sensitive|j,sensitive,j,159,sensitive
twenty-four|m,twenty-four,m,159,twenty-four
heat|n,heat,n,158,"heat, heats"
otherwise|fw,otherwise,fw,158,otherwise
seventeen|m,seventeen,m,158,"seventeen, seventeens"
string|n,string,n,158,"string, strings"
wind|v,wind,v,158,"wind, winds, winding, winded ; wind, winds, winding, wound"
downstairs|r,downstairs,r,157,downstairs
impressive|j,impressive,j,157,impressive
poop|n,poop,n,157,"poop, poops"
property|n,property,n,157,"property, properties"
skill|n,skill,n,157,"skill, skills"
walk|n,walk,n,157,"walk, walks"
dammit|u,dammit,u,156,dammit
lead|n,lead,n,156,"lead, leads"
pancake|n,pancake,n,156,"pancake, pancakes"
slow|v,slow,v,156,"slow, slowed, slowing, slows"
stranger|n,stranger,n,156,"stranger, strangers"
charity|n,charity,n,155,"charity, charities"
crap|v,crap,v,155,"crap, crapped, crapping, craps"
freedom|n,freedom,n,155,"freedom, freedoms"
pour|v,pour,v,155,"pour, poured, pouring, pours"
stuff|v,stuff,v,155,"stuff, stuffed, stuffing, stuffs"
tradition|n,tradition,n,155,"tradition, traditions"
beef|n,beef,n,154,"beef, beefs, beeves"
bite|n,bite,n,154,"bite, bites"
bullet|n,bullet,n,154,"bullet, bullets"
curious|j,curious,j,154,"curious, curiouser, curiousest"
disaster|n,disaster,n,154,"disaster, disasters"
factory|n,factory,n,154,"factory, factories"
forest|n,forest,n,154,"forest, forests"
middle|j,middle,j,154,middle
odd|j,odd,j,154,odd
provide|v,provide,v,154,"provide, provided, provides, providing"
repeat|v,repeat,v,154,"repeat, repeated, repeating, repeats"
section|n,section,n,154,"section, sections"
subway|n,subway,n,154,"subway, subways"
choke|v,choke,v,153,"choke, choked, chokes, choking"
cowboy|n,cowboy,n,153,"cowboy, cowboys"
dirt|n,dirt,n,153,dirt
frog|n,frog,n,153,"frog, frogs"
pumpkin|n,pumpkin,n,153,"pumpkin, pumpkins, punkin, punkins"
swallow|v,swallow,v,153,"swallow, swallowed, swallowing, swallows"
bacon|n,bacon,n,152,bacon
clever|j,clever,j,152,"clever, cleverer, cleverest"
competition|n,competition,n,152,"competition, competitions"
e-mail|n,e-mail,n,152,"e-mail, e-mails, email, emails"
heh|u,heh,u,152,heh
lick|v,lick,v,152,"lick, licked, licking, licks"
mission|n,mission,n,152,"mission, missions"
